loss,ppl,wps,ups,wpb,bsz,num_updates,lr,gnorm,clip,oom,sample_size
12.697,6638.05,5125,1.3,3999,129,1,0.25,0.246,100%,0.0,3999.0
12.691,6611.08,4202,1.3,3658,111,2,0.25,0.237,100%,0.0,3658.5
12.678,6553.72,4435,1.2,3749,125,3,0.25,0.243,100%,0.0,3748.6666666666665
12.666,6497.88,4535,1.2,3791,123,4,0.25,0.244,100%,0.0,3791.0
12.650,6426.70,4491,1.2,3772,165,5,0.25,0.271,100%,0.0,3771.6
12.637,6369.39,4229,1.3,3497,177,6,0.25,0.299,100%,0.0,3497.1666666666665
12.609,6248.55,4336,1.2,3569,174,7,0.25,0.304,100%,0.0,3569.0
12.586,6147.33,4372,1.2,3582,164,8,0.25,0.310,100%,0.0,3582.0
12.557,6025.09,4355,1.3,3550,161,9,0.25,0.324,100%,0.0,3550.0
12.517,5862.91,4389,1.2,3575,154,10,0.25,0.344,100%,0.0,3575.0
12.464,5651.38,4460,1.3,3614,159,11,0.25,0.370,100%,0.0,3613.6363636363635
12.425,5498.02,4390,1.3,3538,147,12,0.25,0.406,100%,0.0,3537.5
12.424,5496.56,4327,1.3,3298,136,13,0.25,0.591,100%,0.0,3298.3076923076924
12.323,5122.83,4371,1.3,3345,134,14,0.25,0.602,100%,0.0,3345.4285714285716
12.224,4783.01,4367,1.3,3348,142,15,0.25,0.628,100%,0.0,3348.3333333333335
12.113,4429.09,4403,1.3,3382,148,16,0.25,0.655,100%,0.0,3381.5625
12.210,4736.93,4431,1.3,3399,143,17,0.25,1.159,100%,0.0,3398.5882352941176
12.364,5269.73,4459,1.3,3424,140,18,0.25,1.651,100%,0.0,3424.1666666666665
12.576,6105.25,4484,1.3,3445,137,19,0.25,2.167,100%,0.0,3445.0526315789475
12.994,8160.17,4469,1.3,3444,131,20,0.25,2.887,100%,0.0,3443.6
12.899,7640.20,4452,1.3,3457,142,21,0.25,2.993,100%,0.0,3457.1428571428573
12.868,7474.81,4475,1.3,3481,148,22,0.25,3.155,100%,0.0,3481.3636363636365
13.026,8339.21,4475,1.3,3485,145,23,0.25,3.492,100%,0.0,3484.5652173913045
12.992,8145.14,4492,1.3,3501,148,24,0.25,3.596,100%,0.0,3500.5833333333335
12.941,7864.04,4514,1.3,3520,150,25,0.25,3.673,100%,0.0,3520.16
12.933,7818.38,4524,1.3,3532,150,26,0.25,3.793,100%,0.0,3532.4615384615386
12.867,7468.18,4508,1.3,3518,153,27,0.25,3.796,100%,0.0,3517.740740740741
12.908,7687.75,4496,1.3,3514,149,28,0.25,3.997,100%,0.0,3514.3214285714284
12.882,7550.44,4463,1.3,3486,145,29,0.25,4.040,100%,0.0,3486.0344827586205
12.807,7164.67,4455,1.3,3479,147,30,0.25,3.943,100%,0.0,3479.0
12.718,6735.44,4459,1.3,3484,154,31,0.25,3.865,100%,0.0,3483.8709677419356
12.649,6424.09,4463,1.3,3489,153,32,0.25,3.781,100%,0.0,3488.5625
12.587,6152.99,4468,1.3,3494,153,33,0.25,3.707,100%,0.0,3494.121212121212
12.526,5899.82,4466,1.3,3493,156,34,0.25,3.640,100%,0.0,3493.0588235294117
12.474,5688.12,4476,1.3,3506,155,35,0.25,3.579,100%,0.0,3506.0857142857144
12.410,5442.02,4491,1.3,3520,156,36,0.25,3.516,100%,0.0,3519.527777777778
12.369,5289.93,4496,1.3,3522,153,37,0.25,3.462,100%,0.0,3521.945945945946
12.302,5048.72,4498,1.3,3525,157,38,0.25,3.401,100%,0.0,3524.7631578947367
12.254,4885.46,4501,1.3,3529,156,39,0.25,3.336,100%,0.0,3528.5384615384614
12.172,4615.81,4513,1.3,3540,161,40,0.25,3.273,100%,0.0,3540.15
12.112,4427.31,4516,1.3,3546,163,41,0.25,3.223,100%,0.0,3545.512195121951
12.049,4238.46,4528,1.3,3554,164,42,0.25,3.177,100%,0.0,3553.6190476190477
12.007,4114.59,4536,1.3,3562,162,43,0.25,3.157,100%,0.0,3561.7906976744184
11.958,3978.40,4541,1.3,3569,163,44,0.25,3.125,100%,0.0,3568.659090909091
11.923,3881.95,4539,1.3,3569,161,45,0.25,3.100,100%,0.0,3568.688888888889
11.879,3767.03,4544,1.3,3577,161,46,0.25,3.064,100%,0.0,3577.0652173913045
11.848,3686.89,4538,1.3,3570,160,47,0.25,3.018,100%,0.0,3569.9148936170213
11.816,3605.27,4521,1.3,3551,159,48,0.25,2.965,100%,0.0,3550.75
11.783,3523.16,4524,1.3,3557,157,49,0.25,2.922,100%,0.0,3556.673469387755
11.750,3444.47,4520,1.3,3552,156,50,0.25,2.873,100%,0.0,3552.02
11.714,3358.92,4525,1.3,3558,154,51,0.25,2.828,100%,0.0,3558.3137254901962
11.678,3276.06,4525,1.3,3560,153,52,0.25,2.784,100%,0.0,3559.5576923076924
11.637,3184.70,4525,1.3,3560,154,53,0.25,2.744,100%,0.0,3559.754716981132
11.607,3118.94,4527,1.3,3565,152,54,0.25,2.702,100%,0.0,3565.277777777778
11.570,3040.56,4533,1.3,3572,151,55,0.25,2.660,100%,0.0,3572.1454545454544
11.530,2957.42,4535,1.3,3576,152,56,0.25,2.621,100%,0.0,3576.2321428571427
11.487,2870.89,4544,1.3,3583,152,57,0.25,2.581,100%,0.0,3583.2982456140353
11.457,2811.75,4545,1.3,3585,151,58,0.25,2.542,100%,0.0,3585.0172413793102
11.439,2776.66,4532,1.3,3573,149,59,0.25,2.506,100%,0.0,3572.762711864407
11.409,2719.89,4536,1.3,3578,148,60,0.25,2.470,100%,0.0,3578.45
11.373,2651.39,4540,1.3,3585,148,61,0.25,2.435,100%,0.0,3585.1967213114754
11.347,2605.39,4538,1.3,3582,148,62,0.25,2.401,100%,0.0,3581.8064516129034
11.323,2561.66,4541,1.3,3587,147,63,0.25,2.371,100%,0.0,3586.5873015873017
11.289,2501.88,4543,1.3,3590,148,64,0.25,2.339,100%,0.0,3589.515625
11.250,2436.29,4547,1.3,3596,149,65,0.25,2.307,100%,0.0,3595.769230769231
11.226,2395.03,4549,1.3,3600,148,66,0.25,2.278,100%,0.0,3599.621212121212
11.197,2347.25,4551,1.3,3603,148,67,0.25,2.249,100%,0.0,3602.8805970149256
11.178,2316.78,4548,1.3,3599,147,68,0.25,2.223,100%,0.0,3599.1617647058824
11.150,2272.66,4551,1.3,3605,147,69,0.25,2.197,100%,0.0,3604.6521739130435
11.123,2230.77,4556,1.3,3610,146,70,0.25,2.169,100%,0.0,3610.1428571428573
11.090,2180.29,4560,1.3,3616,147,71,0.25,2.143,100%,0.0,3615.5774647887324
11.070,2150.31,4562,1.3,3617,146,72,0.25,2.118,100%,0.0,3617.3611111111113
11.046,2114.47,4566,1.3,3622,145,73,0.25,2.092,100%,0.0,3622.2876712328766
11.027,2086.06,4567,1.3,3624,144,74,0.25,2.068,100%,0.0,3624.364864864865
11.008,2058.69,4560,1.3,3616,145,75,0.25,2.046,100%,0.0,3615.84
10.991,2035.27,4558,1.3,3615,143,76,0.25,2.025,100%,0.0,3615.4605263157896
10.964,1998.16,4562,1.3,3620,144,77,0.25,2.003,100%,0.0,3620.4545454545455
10.942,1967.00,4565,1.3,3625,143,78,0.25,1.980,100%,0.0,3624.769230769231
10.918,1934.80,4568,1.3,3629,143,79,0.25,1.958,100%,0.0,3629.3924050632913
10.874,1876.54,4566,1.3,3634,148,80,0.25,1.946,100%,0.0,3633.9875
10.862,1861.19,4560,1.3,3628,147,81,0.25,1.929,100%,0.0,3627.5185185185187
10.850,1845.68,4553,1.3,3621,146,82,0.25,1.909,100%,0.0,3621.0243902439024
10.820,1808.15,4552,1.3,3619,149,83,0.25,1.893,100%,0.0,3618.9518072289156
10.777,1754.18,4550,1.3,3623,155,84,0.25,1.882,100%,0.0,3623.0833333333335
10.770,1745.91,4545,1.3,3614,154,85,0.25,1.869,100%,0.0,3613.929411764706
10.752,1724.56,4550,1.3,3615,153,86,0.25,1.857,100%,0.0,3615.1511627906975
10.727,1694.67,4554,1.3,3619,154,87,0.25,1.840,100%,0.0,3619.4597701149423
10.707,1672.00,4556,1.3,3622,154,88,0.25,1.824,100%,0.0,3622.3977272727275
10.687,1648.34,4560,1.3,3626,154,89,0.25,1.807,100%,0.0,3626.0898876404494
10.672,1631.77,4562,1.3,3629,153,90,0.25,1.794,100%,0.0,3628.5444444444443
10.654,1611.05,4561,1.3,3628,154,91,0.25,1.779,100%,0.0,3627.703296703297
10.636,1591.58,4563,1.3,3630,154,92,0.25,1.762,100%,0.0,3630.0978260869565
10.619,1572.53,4563,1.3,3631,154,93,0.25,1.746,100%,0.0,3630.8494623655915
10.609,1561.83,4564,1.3,3631,153,94,0.25,1.735,100%,0.0,3630.7659574468084
10.595,1546.99,4566,1.3,3633,152,95,0.25,1.720,100%,0.0,3633.2105263157896
10.585,1536.43,4565,1.3,3632,151,96,0.25,1.705,100%,0.0,3631.9479166666665
10.562,1511.87,4561,1.3,3627,154,97,0.25,1.700,100%,0.0,3627.0721649484535
10.556,1505.06,4556,1.3,3623,153,98,0.25,1.686,100%,0.0,3623.4897959183672
10.539,1487.72,4560,1.3,3627,152,99,0.25,1.675,100%,0.0,3627.191919191919
10.522,1470.47,4564,1.3,3630,152,100,0.25,1.662,100%,0.0,3630.03
10.513,1461.64,4561,1.3,3626,152,101,0.25,1.652,100%,0.0,3625.940594059406
10.494,1442.38,4562,1.3,3627,152,102,0.25,1.639,100%,0.0,3627.2549019607845
10.473,1420.97,4563,1.3,3629,154,103,0.25,1.627,100%,0.0,3629.2038834951454
10.459,1407.91,4566,1.3,3632,153,104,0.25,1.615,100%,0.0,3632.3365384615386
10.444,1393.27,4569,1.3,3635,153,105,0.25,1.603,100%,0.0,3634.9904761904763
10.430,1379.61,4574,1.3,3637,153,106,0.25,1.591,100%,0.0,3637.2830188679245
10.415,1365.45,4578,1.3,3640,152,107,0.25,1.578,100%,0.0,3640.121495327103
10.407,1357.67,4576,1.3,3638,152,108,0.25,1.568,100%,0.0,3638.3055555555557
10.402,1352.76,4572,1.3,3634,151,109,0.25,1.561,100%,0.0,3634.256880733945
10.380,1332.22,4573,1.3,3636,153,110,0.25,1.551,100%,0.0,3636.2181818181816
10.370,1323.07,4572,1.3,3635,152,111,0.25,1.541,100%,0.0,3635.387387387387
10.360,1314.67,4572,1.3,3636,152,112,0.25,1.530,100%,0.0,3635.8660714285716
10.350,1305.40,4570,1.3,3633,152,113,0.25,1.519,100%,0.0,3633.424778761062
10.332,1288.92,4573,1.3,3637,153,114,0.25,1.508,100%,0.0,3636.6403508771928
10.318,1276.88,4576,1.3,3639,152,115,0.25,1.498,100%,0.0,3639.495652173913
10.315,1274.05,4572,1.3,3635,151,116,0.25,1.499,100%,0.0,3634.698275862069
10.302,1262.38,4572,1.3,3635,151,117,0.25,1.488,100%,0.0,3634.923076923077
10.291,1252.46,4574,1.3,3638,151,118,0.25,1.478,100%,0.0,3637.5677966101694
10.278,1241.42,4578,1.3,3639,150,119,0.25,1.469,100%,0.0,3638.5210084033615
